audio_down_id,wav_filename,index,time,label,unnature,sharpdecline
exp1_opus_10_16920,exp1_opus_10,16920,2.115,0,,
exp1_opus_10_18040,exp1_opus_10,18040,2.255,0,,
exp1_opus_10_19800,exp1_opus_10,19800,2.475,0,,
exp1_opus_10_22920,exp1_opus_10,22920,2.865,0,,
exp1_opus_10_28600,exp1_opus_10,28600,3.575,0,,
exp1_opus_10_30760,exp1_opus_10,30760,3.845,0,,
exp1_opus_10_32760,exp1_opus_10,32760,4.095,0,,
exp1_opus_10_32920,exp1_opus_10,32920,4.115,0,,
exp1_opus_10_41880,exp1_opus_10,41880,5.235,0,,
exp1_opus_10_55160,exp1_opus_10,55160,6.895,0,,
exp1_opus_10_61000,exp1_opus_10,61000,7.625,0,,
exp1_opus_10_68600,exp1_opus_10,68600,8.575,0,,
exp1_opus_10_78680,exp1_opus_10,78680,9.835,0,,
exp1_opus_10_82840,exp1_opus_10,82840,10.355,0,,
exp1_opus_10_98680,exp1_opus_10,98680,12.335,0,,
exp1_opus_10_111400,exp1_opus_10,111400,13.925,0,,
exp1_opus_10_123000,exp1_opus_10,123000,15.375,0,,
exp1_opus_10_123640,exp1_opus_10,123640,15.455,0,,
exp1_opus_10_126360,exp1_opus_10,126360,15.795,0,,
exp1_opus_10_129000,exp1_opus_10,129000,16.125,0,,
exp1_opus_10_139000,exp1_opus_10,139000,17.375,0,,
exp1_opus_10_156120,exp1_opus_10,156120,19.515,0,,
exp1_opus_10_164840,exp1_opus_10,164840,20.605,0,,
exp1_opus_10_172120,exp1_opus_10,172120,21.515,0,,
exp1_opus_10_173560,exp1_opus_10,173560,21.695,0,,
exp1_opus_10_177400,exp1_opus_10,177400,22.175,0,,
exp1_opus_10_192360,exp1_opus_10,192360,24.045,0,,
exp1_opus_10_208440,exp1_opus_10,208440,26.055,0,,
exp1_opus_10_212440,exp1_opus_10,212440,26.555,0,,
exp1_opus_10_215160,exp1_opus_10,215160,26.895,0,,
exp1_opus_10_222600,exp1_opus_10,222600,27.825,0,,
exp1_opus_10_224520,exp1_opus_10,224520,28.065,0,,
exp1_opus_10_224760,exp1_opus_10,224760,28.095,0,,
exp1_opus_10_248680,exp1_opus_10,248680,31.085,0,,
exp1_opus_10_254440,exp1_opus_10,254440,31.805,0,,
exp1_opus_10_261880,exp1_opus_10,261880,32.735,0,,
exp1_opus_10_270680,exp1_opus_10,270680,33.835,0,,
exp1_opus_10_275080,exp1_opus_10,275080,34.385,0,,
exp1_opus_10_291480,exp1_opus_10,291480,36.435,0,,
exp1_opus_10_302840,exp1_opus_10,302840,37.855,0,,
exp1_opus_10_314760,exp1_opus_10,314760,39.345,0,,
exp1_opus_10_315400,exp1_opus_10,315400,39.425,0,,
exp1_opus_10_320760,exp1_opus_10,320760,40.095,0,,
exp1_opus_10_331240,exp1_opus_10,331240,41.405,0,,
exp1_opus_10_343480,exp1_opus_10,343480,42.935,0,,
exp1_opus_10_347240,exp1_opus_10,347240,43.405,0,,
exp1_opus_10_358200,exp1_opus_10,358200,44.775,0,,
exp1_opus_10_360200,exp1_opus_10,360200,45.025,1,,
exp1_opus_10_374760,exp1_opus_10,374760,46.845,0,,
exp1_opus_10_376840,exp1_opus_10,376840,47.105,0,,
exp1_opus_10_378680,exp1_opus_10,378680,47.335,0,,
exp1_opus_10_381960,exp1_opus_10,381960,47.745,0,,
exp1_opus_10_382200,exp1_opus_10,382200,47.775,0,,
